94846KORD ORD20140101051511101/01/14 05:15:31  5-MIN KORD 011115Z 36007KT 10SM OVC012 M09/M12 A3023 390 80 -2500 360/07 RMK AO2 T10941122 $
94846KORD ORD20140101052011101/01/14 05:20:31  5-MIN KORD 011120Z 35007KT 10SM OVC014 M09/M12 A3023 380 80 -2500 360/07 RMK AO2 T10941122 $
94846KORD ORD20140101052511101/01/14 05:25:31  5-MIN KORD 011125Z 36007KT 10SM OVC014 M09/M12 A3023 390 80 -2500 360/07 RMK AO2 T10941122 $
94846KORD ORD20140101053011101/01/14 05:30:31  5-MIN KORD 011130Z 36007KT 10SM OVC012 M09/M12 A3023 390 80 -2500 360/07 RMK AO2 T10941122 $
94846KORD ORD20140101053511101/01/14 05:35:31  5-MIN KORD 011135Z 36007KT 10SM OVC012 M09/M12 A3023 390 80 -2500 360/07 RMK AO2 T10941122 $
94846KORD ORD20140101054011101/01/14 05:40:31  5-MIN KORD 011140Z 36008KT 10SM OVC012 M09/M12 A3023 380 80 -2500 360/08 RMK AO2 T10941122 $
94846KORD ORD20140101054515901/01/14 05:45:31  5-MIN KORD 011145Z 36007KT 9SM OVC012 M09/M12 A3023 380 80 -2500 360/07 RMK AO2 SLP250 60000 70030 I1000 I6000 T10941122 11094 21122 58006 $
94846KORD ORD20140101055016501/01/14 05:50:31  5-MIN KORD 011150Z 36008KT 7SM OVC012 M09/M12 A3023 380 80 -2500 360/08 RMK AO2 SLP251 4/003 60000 70030 I1000 I6000 T10941122 11094 21122 58006 $
94846KORD ORD20140101055511001/01/14 05:55:31  5-MIN KORD 011155Z 36008KT 9SM OVC012 M09/M12 A3023 380 80 -2500 360/08 RMK AO2 T10941122 $
94846KORD ORD20140101060011001/01/14 06:00:31  5-MIN KORD 011200Z 35008KT 9SM OVC012 M09/M12 A3023 380 80 -2500 360/08 RMK AO2 T10941122 $
94846KORD ORD20140101060511001/01/14 06:05:31  5-MIN KORD 011205Z 35008KT 9SM OVC012 M09/M12 A3023 390 80 -2500 350/08 RMK AO2 T10941122 $
94846KORD ORD20140101061011001/01/14 06:10:31  5-MIN KORD 011210Z 35008KT 9SM OVC012 M09/M12 A3023 380 80 -2500 350/08 RMK AO2 T10941122 $
